Algorithm: kd_tree , n_neighbors: 1 , p: 1 , weights: uniform, error rate: 0.036900000000000044
Algorithm: kd_tree , n_neighbors: 2 , p: 1 , weights: uniform, error rate: 0.04600000000000004
Algorithm: kd_tree , n_neighbors: 7 , p: 1 , weights: uniform, error rate: 0.03849999999999998
Algorithm: kd_tree , n_neighbors: 3 , p: 1 , weights: uniform, error rate: 0.036699999999999955
Algorithm: kd_tree , n_neighbors: 5 , p: 1 , weights: uniform, error rate: 0.03820000000000001
Algorithm: kd_tree , n_neighbors: 3 , p: 2 , weights: uniform, error rate: 0.02949999999999997
Algorithm: kd_tree , n_neighbors: 1 , p: 2 , weights: uniform, error rate: 0.03090000000000004
Algorithm: kd_tree , n_neighbors: 5 , p: 2 , weights: uniform, error rate: 0.031200000000000006
Algorithm: kd_tree , n_neighbors: 7 , p: 2 , weights: uniform, error rate: 0.03059999999999996
Algorithm: kd_tree , n_neighbors: 7 , p: 1 , weights: distance, error rate: 0.037699999999999956
Algorithm: kd_tree , n_neighbors: 3 , p: 1 , weights: distance, error rate: 0.03600000000000003
Algorithm: kd_tree , n_neighbors: 5 , p: 1 , weights: distance, error rate: 0.03710000000000002
Algorithm: kd_tree , n_neighbors: 1 , p: 1 , weights: distance, error rate: 0.036900000000000044
Algorithm: kd_tree , n_neighbors: 1 , p: 2 , weights: distance, error rate: 0.03090000000000004
Algorithm: kd_tree , n_neighbors: 5 , p: 2 , weights: distance, error rate: 0.03090000000000004
Algorithm: kd_tree , n_neighbors: 3 , p: 2 , weights: distance, error rate: 0.028299999999999992
Algorithm: kd_tree , n_neighbors: 7 , p: 2 , weights: distance, error rate: 0.030000000000000027
Algorithm: brute , n_neighbors: 1 , p: 2 , weights: distance, error rate: 0.03090000000000004
Algorithm: brute , n_neighbors: 3 , p: 2 , weights: distance, error rate: 0.02949999999999997
Algorithm: brute , n_neighbors: 5 , p: 2 , weights: distance, error rate: 0.03090000000000004
Algorithm: brute , n_neighbors: 7 , p: 2 , weights: distance, error rate: 0.030000000000000027
Algorithm: brute , n_neighbors: 1 , p: 2 , weights: uniform, error rate: 0.03090000000000004
Algorithm: brute , n_neighbors: 3 , p: 2 , weights: uniform, error rate: 0.02949999999999997
Algorithm: brute , n_neighbors: 5 , p: 2 , weights: uniform, error rate: 0.031200000000000006
Algorithm: brute , n_neighbors: 7 , p: 2 , weights: uniform, error rate: 0.03059999999999996
Algorithm: brute , n_neighbors: 5 , p: 1 , weights: distance, error rate: 0.03710000000000002
Algorithm: brute , n_neighbors: 1 , p: 1 , weights: distance, error rate: 0.036900000000000044
Algorithm: brute , n_neighbors: 7 , p: 1 , weights: distance, error rate: 0.037699999999999956
Algorithm: brute , n_neighbors: 3 , p: 1 , weights: distance, error rate: 0.03600000000000003
Algorithm: brute , n_neighbors: 3 , p: 1 , weights: uniform, error rate: 0.036699999999999955
Algorithm: brute , n_neighbors: 1 , p: 1 , weights: uniform, error rate: 0.036900000000000044
Algorithm: brute , n_neighbors: 5 , p: 1 , weights: uniform, error rate: 0.03820000000000001
Algorithm: brute , n_neighbors: 7 , p: 1 , weights: uniform, error rate: 0.03849999999999998
Algorithm: auto , n_neighbors: 1 , p: 2 , weights: uniform, error rate: 0.03090000000000004
Algorithm: auto , n_neighbors: 3 , p: 2 , weights: uniform, error rate: 0.02949999999999997
Algorithm: auto , n_neighbors: 5 , p: 2 , weights: uniform, error rate: 0.031200000000000006
Algorithm: auto , n_neighbors: 7 , p: 2 , weights: uniform, error rate: 0.03059999999999996
Algorithm: auto , n_neighbors: 3 , p: 1 , weights: uniform, error rate: 0.036699999999999955
Algorithm: auto , n_neighbors: 5 , p: 1 , weights: uniform, error rate: 0.03820000000000001
Algorithm: auto , n_neighbors: 7 , p: 1 , weights: uniform, error rate: 0.03849999999999998
Algorithm: auto , n_neighbors: 1 , p: 1 , weights: uniform, error rate: 0.036900000000000044
Algorithm: auto , n_neighbors: 1 , p: 2 , weights: distance, error rate: 0.03090000000000004
Algorithm: auto , n_neighbors: 3 , p: 2 , weights: distance, error rate: 0.028299999999999992
Algorithm: auto , n_neighbors: 5 , p: 2 , weights: distance, error rate: 0.03090000000000004
Algorithm: auto , n_neighbors: 1 , p: 1 , weights: distance, error rate: 0.036900000000000044
Algorithm: auto , n_neighbors: 3 , p: 1 , weights: distance, error rate: 0.03600000000000003
Algorithm: auto , n_neighbors: 5 , p: 1 , weights: distance, error rate: 0.03710000000000002
Algorithm: auto , n_neighbors: 7 , p: 1 , weights: distance, error rate: 0.037699999999999956
Algorithm: auto , n_neighbors: 7 , p: 1 , weights: distance, error rate: 0.037699999999999956
